id;fpath;sentence;remove_start;remove_end;removed;type;original_removetype;original_removetype_cast;short_sent;cons_score;ual;la
3535;Train/aja_pm19980926e_ud211.conllu;Kõigile firmadele tuleks lausa kohustuslikuks muuta töötajaile nädalase talvepuhkuse andmine , paljud tööandjad on selle kasulikkusest juba arugi saanud .;115;134;selle kasulikkusest;bound;no;bound;Kõigile firmadele tuleks lausa kohustuslikuks muuta töötajaile nädalase talvepuhkuse andmine , paljud tööandjad on juba arugi saanud .;88.9;94.4;88.9
3536;Dev/aja_luup200009_ud211.conllu;Edasi tegeles sellega poliitbüroo .;14;21;sellega;bound;no;bound;Edasi tegeles poliitbüroo .;100.0;100.0;100.0
3537;Train/ilu_kanep_ud211.conllu;Pööran linna vasemale , kasutan ära inertsi ja juba kulgebki panoraam minu poole .;70;80;minu poole;bound;no;bound;Pööran linna vasemale , kasutan ära inertsi ja juba kulgebki panoraam .;100.0;100.0;100.0
3538;Train/aja_ee199920_osa_1_ud211.conllu;Eesti Ekspressi otsesele küsimusele vastates välistab Mõis täielikult võimaluse , et Eesti pankade , sealhulgas Hansapanga kaudu toimus või toimub rahapesu .;85;98;Eesti pankade;bound;no;bound;Eesti Ekspressi otsesele küsimusele vastates välistab Mõis täielikult võimaluse , et , sealhulgas Hansapanga kaudu toimus või toimub rahapesu .;95.0;95.0;100.0
3539;Train/aja_luup200202_osa_2_ud211.conllu;Kultuuritegijad on need pühad lehmad , kes ei pea majanduse struktuurimuutustest mitte midagi teadma ja kellel on riigieelarve kaudu õigus teiste kulul parasiteerida .;50;80;majanduse struktuurimuutustest;bound;no;bound;Kultuuritegijad on need pühad lehmad , kes ei pea mitte midagi teadma ja kellel on riigieelarve kaudu õigus teiste kulul parasiteerida .;100.0;100.0;100.0
3540;Train/tea_AA_05_6_ud211.conllu;Tiigrihüppe Sihtasutus on aastaid toetanud multimeedia-õpitarkvara loomist ja hankimist Eesti koolidele , kokku on ajavahemikus 1997-2005 jõudnud koolidesse üle 100 nimetuse ainealast õpitarkvara .;146;156;koolidesse;bound;no;bound;Tiigrihüppe Sihtasutus on aastaid toetanud multimeedia-õpitarkvara loomist ja hankimist Eesti koolidele , kokku on ajavahemikus 1997-2005 jõudnud üle 100 nimetuse ainealast õpitarkvara .;52.2;56.5;69.6
3541;Train/aja_horisont2000_osa_4_ud211.conllu;Sest üks üsna noorepoolne isand võttis norsata nii vägevalt , et tema larin summutas isegi taluõuele sõitnud kontvõõra traktori müra .;91;100;taluõuele;free;no;bound;Sest üks üsna noorepoolne isand võttis norsata nii vägevalt , et tema larin summutas isegi sõitnud kontvõõra traktori müra .;85.0;90.0;95.0
3542;Dev/aja_epl20070812_ud211.conllu;Täna pandi punkt Baltikumi ja Soome purjelaudurite olulisimale võistlussarjale Audi Neilpryde Baltic Cup'ile , kus eestlased Erno Kaasik ja Martin Ervin tulid sarja üldarvestuses tihedas konkurentsis teiseks ja kolmandaks .;17;221;Baltikumi ja Soome purjelaudurite olulisimale võistlussarjale Audi Neilpryde Baltic Cup'ile , kus eestlased Erno Kaasik ja Martin Ervin tulid sarja üldarvestuses tihedas konkurentsis teiseks ja kolmandaks;free;no;bound;Täna pandi punkt .;100.0;100.0;100.0
3543;Train/arborest_ud211.conllu;Peeter jooksis toast koridori ust avama .;21;29;koridori;free;no;bound;Peeter jooksis toast ust avama .;100.0;100.0;100.0
3544;Train/tea_geofyysika.conllu;Neist esimese initsiaatoriks oli Austria leitnant Karl Weyprecht , kes sellekohase idee esitas 1875. a .;0;5;Neist;free;no;bound;esimese initsiaatoriks oli Austria leitnant Karl Weyprecht , kes sellekohase idee esitas 1875. a .;;;
3545;Train/aja_sloleht20071217_ud211.conllu;Esimesed sammud lumelaua peal - esialgu kinnitamata saabastega - teevad 100 % selgeks järele mõeldes üpris loogilisena tunduva tõsiasja - lumi on libe ja lumelaud on samuti libe .;72;75;100;bound;no;bound;Esimesed sammud lumelaua peal - esialgu kinnitamata saabastega - teevad % selgeks järele mõeldes üpris loogilisena tunduva tõsiasja - lumi on libe ja lumelaud on samuti libe .;82.1;82.1;92.9
3546;Dev/aja_epl20070812_ud211.conllu;Kolmandaks kihutas end soomlane Atte Mustonen ( Räikkönen Robertson Racing ) , kes jäi eestlasest maha 4,7 sekundiga , kirjutab;87;97;eestlasest;free;no;bound;Kolmandaks kihutas end soomlane Atte Mustonen ( Räikkönen Robertson Racing ) , kes jäi maha 4,7 sekundiga , kirjutab;73.7;78.9;84.2
3547;Train/tea_geofyysika.conllu;Vastukaaluks annab kogemus põhjust väita , et füüsikas kasutatava mõtteviisi omaksvõtnud inimesed saavad vahel üsna vaevaliselt aru looduse füüsikavälistest seostest .;46;54;füüsikas;bound;no;bound;Vastukaaluks annab kogemus põhjust väita , et kasutatava mõtteviisi omaksvõtnud inimesed saavad vahel üsna vaevaliselt aru looduse füüsikavälistest seostest .;100.0;100.0;100.0
3548;Train/aja_pm20000218_osa_5_ud211.conllu;41 miljoni margasest ( 328 miljoni kroonisest ) trahvirahast , millega CDUd karistati , läheb üleriikliku parteide rahastamise süsteemi kaudu SPD-le koguni 21,6 miljonit .;0;10;41 miljoni;bound;no;bound;margasest ( 328 miljoni kroonisest ) trahvirahast , millega CDUd karistati , läheb üleriikliku parteide rahastamise süsteemi kaudu SPD-le koguni 21,6 miljonit .;95.7;95.7;100.0
3549;Dev/aja_epl20070812_ud211.conllu;Tai pealinnas Bangkokis jätkuval universiaadil kaotas ainsa eestlannana konkurentsi jäänud Olga Aleksejeva naiste epeevehklemises veerandfinaalis Iisraeli esindajale Noam Millsile 10 : 11 .;72;83;konkurentsi;bound;no;bound;Tai pealinnas Bangkokis jätkuval universiaadil kaotas ainsa eestlannana jäänud Olga Aleksejeva naiste epeevehklemises veerandfinaalis Iisraeli esindajale Noam Millsile 10 : 11 .;;;
3550;Train/ilu_indrikson_ud211.conllu;Siin lõhnas odava tekstiili ja robusta kohvi järele .;12;51;odava tekstiili ja robusta kohvi järele;bound;no;bound;Siin lõhnas .;100.0;100.0;100.0
3551;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Internet vähendaks bürokraatiat ning hoiaks kokku kulusid ka raviasutuste ja Haigekassa vahelises suhtluses , sest viimane saaks järjekorrainfot jooksvalt ja automaatselt , selle asemel et raviasutustelt kvartaliaruandeid koguda .;58;107;ka raviasutuste ja Haigekassa vahelises suhtluses;bound;no;bound;Internet vähendaks bürokraatiat ning hoiaks kokku kulusid , sest viimane saaks järjekorrainfot jooksvalt ja automaatselt , selle asemel et raviasutustelt kvartaliaruandeid koguda .;69.6;69.6;95.7
3552;Train/aja_sloleht20071217_ud211.conllu;Porkuni kooli õpetaja Tiiu Jaansoo päästis langetõvehoo tõttu järve kukkunud koolipoisi elu .;62;67;järve;bound;no;bound;Porkuni kooli õpetaja Tiiu Jaansoo päästis langetõvehoo tõttu kukkunud koolipoisi elu .;100.0;100.0;100.0
3553;Dev/aja_epl20070812_ud211.conllu;Välisminister Urmas Paet kirjutas alla käskkirjale , mille kohaselt eraldatakse see summa välisministeeriumi eelarves arengu- ja humanitaarabiks ettenähtud vahenditest .;118;144;arengu- ja humanitaarabiks;free;no;bound;Välisminister Urmas Paet kirjutas alla käskkirjale , mille kohaselt eraldatakse see summa välisministeeriumi eelarves ettenähtud vahenditest .;100.0;100.0;100.0
3554;Train/tea_toohoive.conllu;Näiteks transiidisektoris ta eriti tööjõumahukas ei ole , mitmetes muudes harudes aga küll .;0;25;Näiteks transiidisektoris;bound;no;bound;ta eriti tööjõumahukas ei ole , mitmetes muudes harudes aga küll .;66.7;75.0;83.3
3555;Train/arborest_ud211.conllu;Nad tõukasid ta kohtumaja trepist üles .;16;33;kohtumaja trepist;free;no;bound;Nad tõukasid ta üles .;100.0;100.0;100.0
3556;Train/aja_ee199920_osa_1_ud211.conllu;""" Seadusest on alati kinni peetud .";2;11;Seadusest;bound;no;bound;""" on alati kinni peetud .";100.0;100.0;100.0
3557;Train/ilu_valton_ud211.conllu;See võis olla tõendiks selle kohta , et rebane enam läheduses ei viibi .;52;61;läheduses;bound;no;bound;See võis olla tõendiks selle kohta , et rebane enam ei viibi .;92.3;100.0;92.3
3558;Train/ilu_valton_ud211.conllu;Kuke sammul oli üks iseärasus : ta võttis hoogu nagu hästi pikaks sammuks , kuid pani jala üsna teise jala ette maha .;91;111;üsna teise jala ette;free;no;bound;Kuke sammul oli üks iseärasus : ta võttis hoogu nagu hästi pikaks sammuks , kuid pani jala maha .;100.0;100.0;100.0
3559;Train/aja_pm20001004_osa_3_ud211.conllu;( Juulis 1999 kaotas Metsamaa Mercedes Tabasalus suurel kiirusel juhitavuse ja põrkas kokku kolme vastutuleva autoga . - PM );92;116;kolme vastutuleva autoga;bound;no;bound;( Juulis 1999 kaotas Metsamaa Mercedes Tabasalus suurel kiirusel juhitavuse ja põrkas kokku . - PM );70.6;76.5;82.4
3560;Train/aja_horisont2000_osa_2_ud211.conllu;Ainuüksi autoklaavid , mida kasutatakse vivaariumitarvete ja loomade toidu steriliseerimiseks , maksavad näiteks üle miljoni krooni igaüks .;113;131;üle miljoni krooni;bound;no;bound;Ainuüksi autoklaavid , mida kasutatakse vivaariumitarvete ja loomade toidu steriliseerimiseks , maksavad näiteks igaüks .;80.0;86.7;93.3
3561;Dev/aja_ml200247_osa6_ud211.conllu;Tekkis kahtlus , et naine on salakavalalt oma võtme seespoolt lukuauku torganud .;62;70;lukuauku;bound;no;bound;Tekkis kahtlus , et naine on salakavalalt oma võtme seespoolt torganud .;91.7;100.0;91.7
3562;Dev/ilu_ruben_ud211.conllu;Erinevalt Tom Sawyerist ei olnud mina kunagi hilinenud .;10;23;Tom Sawyerist;bound;no;bound;Erinevalt ei olnud mina kunagi hilinenud .;100.0;100.0;100.0
3563;Dev/tea_eesti_arst_2004_osa_1_ud211.conllu;Antiagregandid ( aspiriin , tiklopidiin , klopidogreel , dipüridamool ) aitavad sekundaarseks preventsiooniks nii suurte kui väikeste veresoonte kahjustusest põhjustatud VD korral .;110;157;nii suurte kui väikeste veresoonte kahjustusest;free;no;bound;Antiagregandid ( aspiriin , tiklopidiin , klopidogreel , dipüridamool ) aitavad sekundaarseks preventsiooniks põhjustatud VD korral .;88.2;94.1;88.2
3564;Train/tea_eesti_arst_2004_osa_2_ud211.conllu;Detrusor'i hüperrefleksia tekib tavaliselt pons'ist kõrgemal asuva ajuosa kahjustusel .;43;85;pons'ist kõrgemal asuva ajuosa kahjustusel;bound;no;bound;Detrusor'i hüperrefleksia tekib tavaliselt .;100.0;100.0;100.0
3565;Train/aja_sloleht20071217_ud211.conllu;Kuigi kümnest vormi selga ajanud mehest neli , sealhulgas ka liider Travis Reed , vaevles kõhuviiruse käes , löödi laupäeval Kalevi spordihallis suurepärase esitusega neljandal kohal asuvat Šiauliaid 93 : 80 .;6;39;kümnest vormi selga ajanud mehest;free;no;bound;Kuigi neli , sealhulgas ka liider Travis Reed , vaevles kõhuviiruse käes , löödi laupäeval Kalevi spordihallis suurepärase esitusega neljandal kohal asuvat Šiauliaid 93 : 80 .;;;
3566;Train/aja_ml200247_osa_8_ud211.conllu;Eesti riigis on hoiak , nagu poleks väikestel ettevõtjatel nagunii suurt tulevikku , kuna terve maailm globaliseerub , firmad ühinevad kontsernideks jne. .;135;153;kontsernideks jne.;free;no;bound;Eesti riigis on hoiak , nagu poleks väikestel ettevõtjatel nagunii suurt tulevikku , kuna terve maailm globaliseerub , firmad ühinevad .;95.2;95.2;95.2
3567;Train/tea_dr8047.conllu;E. Siguel ( 1996 ) leidis , et polüküllastumata rasvhapete mõjul alaneb veres suhe üldkolesterool/HDL-kolesterool .;31;64;polüküllastumata rasvhapete mõjul;free;no;bound;E. Siguel ( 1996 ) leidis , et alaneb veres suhe üldkolesterool/HDL-kolesterool .;0.0;0.0;7.7
3568;Train/tea_toohoive.conllu;Analüüsi tulemusena selgus , et tööhõive andis olulisi empiirilisi seosed terve rea mõjuteguritega , mis on täielikul kujul toodud ära tabelis 10 lisas 2 .;74;153;terve rea mõjuteguritega , mis on täielikul kujul toodud ära tabelis 10 lisas 2;free;no;bound;Analüüsi tulemusena selgus , et tööhõive andis olulisi empiirilisi seosed .;100.0;100.0;100.0
3569;Train/aja_horisont2000_osa_2_ud211.conllu;Temal pole aga geenide ümbertõstmine nii hästi välja arendatud kui hiirel .;0;5;Temal;unnatural;no;bound;pole aga geenide ümbertõstmine nii hästi välja arendatud kui hiirel .;90.9;90.9;100.0
3570;Train/aja_pm20001004_osa_3_ud211.conllu;Rahandusministeeriumi andmeil on erastamisväärtpabereid seni väljastatud 13,95 miljardi EVP krooni eest ja kasutusarvete jääk on vähenenud 1,997 miljardi EVPni .;73;103;13,95 miljardi EVP krooni eest;bound;no;bound;Rahandusministeeriumi andmeil on erastamisväärtpabereid seni väljastatud ja kasutusarvete jääk on vähenenud 1,997 miljardi EVPni .;100.0;100.0;100.0
3571;Train/aja_luup200202_osa_3_ud211.conllu;Ehkki viimane kannab eri maades eri nimetusi , moodustub see surmatunnistusele kantud andmetest .;61;95;surmatunnistusele kantud andmetest;bound;no;bound;Ehkki viimane kannab eri maades eri nimetusi , moodustub see .;100.0;100.0;100.0
3572;Train/ilu_kivirahk_ud211.conllu;Kui vaatama tuled , siis võid selles paberihunnikus sobrada .;30;51;selles paberihunnikus;free;no;bound;Kui vaatama tuled , siis võid sobrada .;100.0;100.0;100.0
3573;Train/aja_luup200106_osa_6_ud211.conllu;Seni eelistasid maasturi ostjad vähe odavamaid sõidukeid , mille hind ilma lisavarustuseta ei küündinud üle miljoni .;104;115;üle miljoni;bound;no;bound;Seni eelistasid maasturi ostjad vähe odavamaid sõidukeid , mille hind ilma lisavarustuseta ei küündinud .;93.3;93.3;93.3
3574;Train/aja_luup200106_osa_2_ud211.conllu;Reeglina on miljonilised korterid kas renoveeritud või ehitatud viimase 6-7 aasta jooksul ja sisaldavad 3-5 tuba .;64;89;viimase 6-7 aasta jooksul;bound;no;bound;Reeglina on miljonilised korterid kas renoveeritud või ehitatud ja sisaldavad 3-5 tuba .;76.9;76.9;84.6
3575;Dev/aja_ml200247_osa6_ud211.conllu;Leidnud ise selliseid , mis kunstnikusilmale huvi pakuvad , või maalinud fotode järgi , tellimise peale .;73;103;fotode järgi , tellimise peale;bound;no;bound;Leidnud ise selliseid , mis kunstnikusilmale huvi pakuvad , või maalinud .;91.7;91.7;100.0
3576;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;8 Kui teine riik maksab Eestis elava isiku eest Eesti Haigekassale keskmist ravikulu , siis haigekassa maksab omakorda raviasutusele ikkagi vastavalt tegelikule tervishoiuteenuse kulule.9;140;187;vastavalt tegelikule tervishoiuteenuse kulule.9;bound;no;bound;8 Kui teine riik maksab Eestis elava isiku eest Eesti Haigekassale keskmist ravikulu , siis haigekassa maksab omakorda raviasutusele ikkagi ;95.0;95.0;100.0
3577;Train/aja_epl20061216_ud211.conllu;Inglise klubi peatreeneri Jose Mourinho võidukäik algas Portost , kelle ta tüüris 2004. aastal Meistrite liiga võiduni .;56;118;Portost , kelle ta tüüris 2004. aastal Meistrite liiga võiduni;bound;no;bound;Inglise klubi peatreeneri Jose Mourinho võidukäik algas .;100.0;100.0;100.0
3578;Train/tea_geofyysika.conllu;Erinevalt sumeritest ja nende järelkäijatest ei piirdunud kreeka mõtlejad taevakehade liikumiste kirjeldamisega vaid huvitusid esmajoones neid liikumisi tekitava maailma seesmisest loogikast .;138;190;neid liikumisi tekitava maailma seesmisest loogikast;bound;no;bound;Erinevalt sumeritest ja nende järelkäijatest ei piirdunud kreeka mõtlejad taevakehade liikumiste kirjeldamisega vaid huvitusid esmajoones .;93.8;100.0;93.8
3579;Dev/aja_luup200009_ud211.conllu;Teiste sõnadega , kui Kuu oleks Maast 10 korda kaugemal kui praegu , oleks tema tõmme 100 korda nõrgem , loodejõud aga 1000 korda nõrgem .;119;129;1000 korda;bound;no;bound;Teiste sõnadega , kui Kuu oleks Maast 10 korda kaugemal kui praegu , oleks tema tõmme 100 korda nõrgem , loodejõud aga nõrgem .;100.0;100.0;100.0
3580;Train/aja_ee200110_osa_3_ud211.conllu;11 aastat tagasi sõlmitud kummaline leping teatridirektori ja ASi Fookus vahel annab keldriruumid nimelt tervelt 99 aastaks rendile .;124;131;rendile;bound;no;bound;11 aastat tagasi sõlmitud kummaline leping teatridirektori ja ASi Fookus vahel annab keldriruumid nimelt tervelt 99 aastaks .;88.9;94.4;94.4
3581;Dev/aja_epl20070812_ud211.conllu;Kolmandaks kihutas end soomlane Atte Mustonen ( Räikkönen Robertson Racing ) , kes jäi eestlasest maha 4,7 sekundiga , kirjutab;103;116;4,7 sekundiga;bound;no;bound;Kolmandaks kihutas end soomlane Atte Mustonen ( Räikkönen Robertson Racing ) , kes jäi eestlasest maha , kirjutab;72.2;77.8;83.3
3582;Train/ilu_maailm_ud211.conllu;""" Mina olen Sugulane , "" ütles ta ja sammus väljasirutatud käega Kala juurde .";65;76;Kala juurde;free;no;bound;""" Mina olen Sugulane , "" ütles ta ja sammus väljasirutatud käega .";76.9;76.9;84.6
3583;Train/aja_pm20001004_osa_3_ud211.conllu;Sydney suurlehe pealkirjas Freewomaniks ristitud 27-aastane naine võlus nii sportliku pingutuse kui inimliku käitumisega .;72;120;nii sportliku pingutuse kui inimliku käitumisega;free;no;bound;Sydney suurlehe pealkirjas Freewomaniks ristitud 27-aastane naine võlus .;100.0;100.0;100.0
3584;Train/aja_luup200202_osa_4_ud211.conllu;Putukakujuline tuleb ka soojaandurite ja lõhkeainega varustatud minirobot , mis suudab soojuse põhjal määrata inimese asukoha , talle külge haakuda ja plahvatada .;24;52;soojaandurite ja lõhkeainega;bound;no;bound;Putukakujuline tuleb ka varustatud minirobot , mis suudab soojuse põhjal määrata inimese asukoha , talle külge haakuda ja plahvatada .;90.0;100.0;90.0
3585;Train/aja_ee199920_osa_2_ud211.conllu;Kindral Kert tunneb Indrek Holmi isiklikult ja uskus , et temast saab hea sõjaväelane .;58;64;temast;bound;no;bound;Kindral Kert tunneb Indrek Holmi isiklikult ja uskus , et saab hea sõjaväelane .;100.0;100.0;100.0
3586;Train/aja_luup200106_osa_1_ud211.conllu;Panga mõistes keskmisel miljonäril seisab viiendik rahast arvelduskontol ning veidi üle kahe korra rohkem teenib intressi tähtajalisel hoiusel .;122;142;tähtajalisel hoiusel;free;no;bound;Panga mõistes keskmisel miljonäril seisab viiendik rahast arvelduskontol ning veidi üle kahe korra rohkem teenib intressi .;82.4;88.2;88.2
3587;Dev/aja_pm20001004_osa_5_ud211.conllu;See sai sihipärasema väljundi 60ndatel aastatel , mil ta osales õppurina Vietnami sõja ja inimõiguste rikkumise vastastes demonstratsioonides .;73;141;Vietnami sõja ja inimõiguste rikkumise vastastes demonstratsioonides;bound;no;bound;See sai sihipärasema väljundi 60ndatel aastatel , mil ta osales õppurina .;91.7;100.0;91.7
3588;Train/tea_AA_05_6_ud211.conllu;John Madison , John Jay ning Alexander Hamilton kirjutasid aastal 1787 konstitutsiooni kiiremaks läbisurumiseks terve seeria esseesid , mis avaldati nime all “ The Federalist Papers ” [ 21 ] .;149;190;nime all “ The Federalist Papers ” [ 21 ];free;no;bound;John Madison , John Jay ning Alexander Hamilton kirjutasid aastal 1787 konstitutsiooni kiiremaks läbisurumiseks terve seeria esseesid , mis avaldati .;100.0;100.0;100.0
3589;Train/aja_horisont2000_osa_1_ud211.conllu;Sattunud seal paikneva monstrumi lähedusse on neil ikka mingi hoog sees ja nad ei kuku auku otse , vaid jäävad tiirlema selle ümber ning moodustavad akretsiooniketta .;87;91;auku;free;no;bound;Sattunud seal paikneva monstrumi lähedusse on neil ikka mingi hoog sees ja nad ei kuku otse , vaid jäävad tiirlema selle ümber ning moodustavad akretsiooniketta .;96.2;96.2;100.0
3590;Dev/aja_epl20070812_ud211.conllu;Õppused kannavad nime Rahu Missioon 2007 ning tegemist on seni kõige ambitsioonikama sõjalise ühistööga SKO raames , mille eesmärk on tugevdada riikide vahelist koostööd ka näiteks poliitika ning majanduse vallas .;170;212;ka näiteks poliitika ning majanduse vallas;free;no;bound;Õppused kannavad nime Rahu Missioon 2007 ning tegemist on seni kõige ambitsioonikama sõjalise ühistööga SKO raames , mille eesmärk on tugevdada riikide vahelist koostööd .;72.0;76.0;80.0
3591;Train/arborest_ud211.conllu;Sõudsime saare lähistel .;9;23;saare lähistel;free;no;bound;Sõudsime .;100.0;100.0;100.0
3592;Train/tea_AA_05_6_ud211.conllu;Eesmärk on luua avatud koodil põhinev töövahendite kogum ( ToolBox ) , mis sisaldab ka vahendeid õpiobjektide samaaegseks kasutamiseks .;16;29;avatud koodil;bound;no;bound;Eesmärk on luua põhinev töövahendite kogum ( ToolBox ) , mis sisaldab ka vahendeid õpiobjektide samaaegseks kasutamiseks .;72.2;72.2;83.3
3593;Train/ilu_vilep_ud211.conllu;Telekat ei olnud , oli ainult vanaaegse disainiga 60ndatest pärit VEF-raadio .;50;59;60ndatest;free;no;bound;Telekat ei olnud , oli ainult vanaaegse disainiga pärit VEF-raadio .;27.3;27.3;54.5
3594;Dev/aja_luup200009_ud211.conllu;Üks asi näikse selge olevat : kui mõnes riigis rahvas või väga suur osa rahvast enam ei oska , ei taha , ei viitsi , ei julge ( häbeneb ) tööd teha , siis pole sellel rahval mingit väljavaadet üha karmistuvas konkurentsis ellu jääda .;222;226;ellu;bound;no;bound;Üks asi näikse selge olevat : kui mõnes riigis rahvas või väga suur osa rahvast enam ei oska , ei taha , ei viitsi , ei julge ( häbeneb ) tööd teha , siis pole sellel rahval mingit väljavaadet üha karmistuvas konkurentsis jääda .;81.8;84.1;93.2
3595;Train/tea_geofyysika.conllu;Ei piisa ühe konkreetse teadusharu materjali perfektsest valdamisest , vaid tuleb silmas pidada ka seoseid teiste teadusharude teadmistega .;9;68;ühe konkreetse teadusharu materjali perfektsest valdamisest;bound;no;bound;Ei piisa , vaid tuleb silmas pidada ka seoseid teiste teadusharude teadmistega .;100.0;100.0;100.0
3596;Train/tea_toohoive.conllu;Viimaste üleviimine empiiriliselt kontrollitavateks hüpoteesideks sõltus eelkõige nende kontrollimiseks vajalike andmete kättesaadavusest .;82;137;nende kontrollimiseks vajalike andmete kättesaadavusest;bound;no;bound;Viimaste üleviimine empiiriliselt kontrollitavateks hüpoteesideks sõltus eelkõige .;100.0;100.0;100.0
3597;Train/aja_pm20000218_osa_5_ud211.conllu;Sai haavata ja suri veel enne hospidali jõudmist .;25;48;enne hospidali jõudmist;bound;no;bound;Sai haavata ja suri veel .;33.3;33.3;66.7
3598;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;Raviasutuste hinnangul kulutaks kontaktivõtmine liiga palju ressursse , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes raviteenuse eest saamata jäänud tuluga .;48;69;liiga palju ressursse;bound;no;bound;Raviasutuste hinnangul kulutaks kontaktivõtmine , kuid ei tohi unustada , et helistamiskulud on suhteliselt väikesed , võrreldes raviteenuse eest saamata jäänud tuluga .;95.7;100.0;95.7
3599;Dev/aja_luup200009_ud211.conllu;Laia silmaringi ja jumala poolt antud tähelepanuvõimega on Eha huvitav vestleja mis tahes teemal .;19;31;jumala poolt;free;no;bound;Laia silmaringi ja antud tähelepanuvõimega on Eha huvitav vestleja mis tahes teemal .;46.2;69.2;61.5
3600;Train/aja_ml200247_osa_2_ud211.conllu;Eesti presidenti Arnold Rüütlit piirasid nutikate-vaimukate küsimustega Euroopa ja Aasia andekamad noored Hiinast Venemaani välja , vastuste andmine tõi sära ka Rüütli silmadesse .;106;113;Hiinast;bound;no;bound;Eesti presidenti Arnold Rüütlit piirasid nutikate-vaimukate küsimustega Euroopa ja Aasia andekamad noored Venemaani välja , vastuste andmine tõi sära ka Rüütli silmadesse .;82.6;95.7;87.0
3601;Train/aja_luup200202_osa_1_ud211.conllu;Suurim lõhe valitseb harmoonia ja jätkusuutlikkuse osas .;21;55;harmoonia ja jätkusuutlikkuse osas;bound;no;bound;Suurim lõhe valitseb .;100.0;100.0;100.0
3602;Train/aja_horisont2000_osa_4_ud211.conllu;Venemaa-Tšetšeenia sõda aastatel 1994-1996 on nii oluline sündmus , et sellest on mitmetes maailma keeltes kirjutatud palju raamatuid ( eesti keeles kahjuks mitte ) .;136;148;eesti keeles;free;no;bound;Venemaa-Tšetšeenia sõda aastatel 1994-1996 on nii oluline sündmus , et sellest on mitmetes maailma keeltes kirjutatud palju raamatuid ( kahjuks mitte ) .;13.0;17.4;17.4
3603;Dev/aja_luup200009_ud211.conllu;Internetis tarbijate õiguste eest võitlev mittetulundusühing EFF ( Electronic Frontier Foundation ) on asunud ka DVD tulevaste kasutajate õiguste kaitsele .;110;154;ka DVD tulevaste kasutajate õiguste kaitsele;bound;no;bound;Internetis tarbijate õiguste eest võitlev mittetulundusühing EFF ( Electronic Frontier Foundation ) on asunud .;100.0;100.0;100.0
3604;Train/tea_eesti_arst_2004_osa_3_ud211.conllu;8 Kui teine riik maksab Eestis elava isiku eest Eesti Haigekassale keskmist ravikulu , siis haigekassa maksab omakorda raviasutusele ikkagi vastavalt tegelikule tervishoiuteenuse kulule.9;24;30;Eestis;bound;no;bound;8 Kui teine riik maksab elava isiku eest Eesti Haigekassale keskmist ravikulu , siis haigekassa maksab omakorda raviasutusele ikkagi vastavalt tegelikule tervishoiuteenuse kulule.9;95.7;95.7;100.0
3605;Dev/aja_luup200009_ud211.conllu;Teiste sõnadega , kui Kuu oleks Maast 10 korda kaugemal kui praegu , oleks tema tõmme 100 korda nõrgem , loodejõud aga 1000 korda nõrgem .;38;46;10 korda;bound;no;bound;Teiste sõnadega , kui Kuu oleks Maast kaugemal kui praegu , oleks tema tõmme 100 korda nõrgem , loodejõud aga 1000 korda nõrgem .;100.0;100.0;100.0
3606;Train/tea_toohoive.conllu;2000. a. oli see 4,1 % , kuid langes 3 %-ni tagasi 2001. a. .;37;43;3 %-ni;free;no;bound;2000. a. oli see 4,1 % , kuid langes tagasi 2001. a. .;;;
3607;Dev/aja_luup200009_ud211.conllu;Konsortsiumi monopoli säilimise korral oleks uutel üritajatel üha raskem läbi lüüa , sest poest ostetud tehnika ei pruugi mängida ametliku heakskiiduta toodetud muusika- ega videoplaate .;130;151;ametliku heakskiiduta;bound;no;bound;Konsortsiumi monopoli säilimise korral oleks uutel üritajatel üha raskem läbi lüüa , sest poest ostetud tehnika ei pruugi mängida toodetud muusika- ega videoplaate .;100.0;100.0;100.0
3608;Train/aja_ml200247_osa_3_ud211.conllu;Mihkelson oleks eelistanud arengukavaga veel venitada , kaasata selle ettevalmistamisse rohkem asjaga kursis olevaid inimesi .;102;108;kursis;bound;no;bound;Mihkelson oleks eelistanud arengukavaga veel venitada , kaasata selle ettevalmistamisse rohkem asjaga olevaid inimesi .;100.0;100.0;100.0
3609;Train/aja_pm20001004_osa_3_ud211.conllu;Rattur ei reageerinud ka politsei peatumismärguandele , kuid numbrimärgi järgi saadi kihutajale peagi jälile .;25;53;politsei peatumismärguandele;incorrect;no;bound;Rattur ei reageerinud ka , kuid numbrimärgi järgi saadi kihutajale peagi jälile .;100.0;100.0;100.0
3610;Train/aja_ee200110_osa_6_ud211.conllu;Mis sa neist ikka alla topid , muidu tuleb veel keegi selga , on tema loogika .;0;3;Mis;bound;no;bound;sa neist ikka alla topid , muidu tuleb veel keegi selga , on tema loogika .;62.5;62.5;75.0
3611;Train/aja_pm20001004_osa_3_ud211.conllu;Täiseduga jätkav tiitlikaitsja Tartu Ülikool/Delta sai kindlalt 105 : 74 jagu BC Hotronic'ust .;0;9;Täiseduga;bound;no;bound;jätkav tiitlikaitsja Tartu Ülikool/Delta sai kindlalt 105 : 74 jagu BC Hotronic'ust .;23.1;30.8;30.8
